,Cluster,Category,Prophet_static_mae,Prophet_static_me,Prophet_static_rmse,Prophet_static_direction_accuracy,Prophet_wf_mae,Prophet_wf_me,Prophet_wf_rmse,Prophet_wf_direction_accuracy
10,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  ungeschreddert,44.0097303620231,44.0097303620231,44.42255499208803,0.42857142857142855,29.17571768544208,29.17571768544208,29.605605954361412,0.5714285714285714
11,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  geschreddert,13.679771455289877,-13.679771455289877,14.85399645416046,0.5,6.956514030125419,-6.956514030125419,8.983430512472037,0.5
12,"['40', '41', '42', '44', '45', '46', '47']",A3 -  geschreddert,15.053956353848768,-15.053956353848768,15.415942406243268,0.625,7.748575370621091,-7.748575370621091,8.344435480972782,0.625
13,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  geschreddert,3.6742461522753382,1.041925244254146,4.9359342301050875,0.5,3.384694550017061,-0.05778739350935504,4.654623361268821,0.5
14,"['40', '41', '42', '44', '45', '46', '47']",A2 -  geschreddert,9.045558137482027,9.045558137482027,10.807841250292165,0.7142857142857143,5.6822306251493275,4.119446380925391,6.808589905248991,0.7142857142857143
15,"['26', '27', '28']",A2 -  geschreddert,17.914944068292897,17.914944068292897,19.077851370419122,0.6666666666666666,10.2793286793647,-10.2793286793647,11.950542474031817,0.6666666666666666
16,"['26', '27', '28']",A3 -  geschreddert,4.497009594531244,-2.5682765785707318,6.521713968879904,0.25,3.6063650632504505,-1.6896791054242932,4.719175963262261,0.375
17,"['26', '27', '28']",A1 & A2 -  geschreddert,22.347919594301324,22.347919594301324,23.420080543774908,0.5714285714285714,9.025380619419694,-9.025380619419694,11.090455802334047,0.5714285714285714
18,"['26', '27', '28']",A2 & A3 -  geschreddert,15.938506061032026,-15.938506061032026,17.05604009012,0.5,7.530321566588179,-7.530321566588179,8.96615941139499,0.625
19,"['48', '49']",A2 & A3 -  ungeschreddert,29.917145725541523,29.917145725541523,30.04895230589715,0.5714285714285714,4.449020968882283,-3.0212570064137494,5.08732549221528,0.5714285714285714
20,"['48', '49']",A3 -  ungeschreddert,32.08485842206206,32.08485842206206,32.16861038924057,0.5714285714285714,17.590179002142797,17.590179002142797,17.654241135931642,0.7142857142857143
21,"['48', '49']",A2 & A3 -  geschreddert,21.33618705244048,-21.33618705244048,24.136596731999294,0.5,11.499627212268555,-10.849971473280439,15.421009395155298,0.5
22,"['48', '49']",A1 & A2 -  geschreddert,21.32729928959816,-21.32729928959816,23.07451147195155,0.16666666666666666,12.116151845194494,-12.116151845194494,14.40478654494171,0.3333333333333333
23,"['48', '49']",A3 -  geschreddert,13.337326897147461,-12.492310689496778,17.451346215065055,0.375,9.97560556639403,-4.618236571560415,12.486623445784332,0.75
24,"['20', '21', '22', '23']",A2 -  geschreddert,14.817361750271147,-14.817361750271147,15.191741213302727,0.5,8.47993318520637,-8.47993318520637,9.518026080752431,0.5
25,"['20', '21', '22', '23']",A1 & A2 -  geschreddert,20.826127884733314,-20.826127884733314,21.203753447041425,0.375,11.570368798258515,-11.570368798258515,12.460886689770167,0.375
26,"['20', '21', '22', '23']",A2 & A3 -  geschreddert,15.382481859457565,-15.382481859457565,15.750708461047198,0.5,8.965064561179206,-8.965064561179206,9.891419257593059,0.5
27,"['10', '11', '12', '13', '14', '15', '16']",A2 & A3 -  geschreddert,8.7720644692287,-5.84609010101984,10.232431766385545,0.5714285714285714,7.264694571495426,-2.8224733280325554,7.960478624138611,0.5714285714285714
28,"['10', '11', '12', '13', '14', '15', '16']",A1 & A2 -  geschreddert,10.029968893776534,-10.029968893776534,13.43801379834296,0.375,5.713077331364348,-4.418017656715337,8.267670550530033,0.375
29,"['10', '11', '12', '13', '14', '15', '16']",A2 -  geschreddert,10.904894793679661,-10.904894793679661,12.201050888528096,0.5714285714285714,5.1874885859261886,-3.912384267393732,6.086379574633303,0.5714285714285714
30,"['29', '30', '31', '38', '39']",A2 & A3 -  geschreddert,17.86745753106139,-17.86745753106139,18.918294864419657,0.625,8.71090818543446,-8.71090818543446,10.387224208075056,0.75
31,"['29', '30', '31', '38', '39']",A1 & A2 -  geschreddert,24.956377457005527,-24.956377457005527,25.518565024873663,0.625,11.956457382964075,-11.956457382964075,13.032501653663717,0.625
32,"['29', '30', '31', '38', '39']",A2 -  geschreddert,18.622943478414964,-18.622943478414964,19.54071098293993,0.625,9.075651348273368,-9.075651348273368,10.570625462341486,0.75
