,Cluster,Category,XGB_mae,XGB_static_me,XGB_static_rmse,XGB_static_direction_accuracy,XGB_rolling_mae,XGB_rolling_me,XGB_rolling_rmse,XGB_rolling_direction_accuracy,XGB_wf_mae,XGB_wf_me,XGB_wf_rmse,XGB_wf_direction_accuracy
17,"['26', '27', '28']",A1 & A2 -  geschreddert,4.238129099726061,2.7015562394115804,4.823702381066558,0.42857142857142855,5.985499688249503,2.1309355833980916,7.247386918543856,0.2857142857142857,6.514853909336141,-0.28374716253544086,7.8005511557674,0.14285714285714285
18,"['26', '27', '28']",A2 & A3 -  geschreddert,9.252662606385027,-9.252662606385027,10.002928581650002,0.625,4.0038098096202805,-2.1743249038987758,4.497949304689921,0.625,3.756293396109197,-1.8691095981465518,4.540145177611195,0.25
19,"['48', '49']",A2 & A3 -  ungeschreddert,2.9595079160875306,-2.8608778511330866,3.4502993904837886,0.8571428571428571,3.593745205976318,-0.5117803310200956,4.67465732516848,0.2857142857142857,3.5212503418447714,-1.2414913271710657,4.658167215289816,0.42857142857142855
20,"['48', '49']",A3 -  ungeschreddert,4.696278856875973,-0.3926283131768791,5.586227931714464,0.2857142857142857,2.9932312624050867,0.2559924413034827,4.30128370397515,0.42857142857142855,3.303600386191487,1.160770623810044,4.7574318780636,0.42857142857142855
21,"['48', '49']",A2 & A3 -  geschreddert,12.12030213244163,10.633581705845776,13.824118264767087,0.375,11.08312442878677,-0.2791823135905294,11.713799782142965,0.375,9.307853600420685,-0.7160738693766623,10.980150389295423,0.375
22,"['48', '49']",A1 & A2 -  geschreddert,5.729628432985231,1.058896056778567,6.454869017147213,0.5,4.768000200301777,0.6214497350186619,5.860642671654368,0.3333333333333333,5.18828310915013,0.30800178274815415,6.38195001125859,0.16666666666666666
23,"['48', '49']",A3 -  geschreddert,9.749554560999952,-6.007683213918476,12.689326731849246,0.25,10.546260283280098,-1.404739581580694,12.568382305300323,0.125,11.1227881124492,-0.1734123657502088,12.000559310352388,0.25
24,"['20', '21', '22', '23']",A2 -  geschreddert,2.69456843391386,-2.0679790832939173,3.360137853852203,0.75,4.556918433209791,2.4979636809883097,5.5609583585273565,0.25,3.6849889567888487,1.158226159710776,3.9615418276646115,0.375
25,"['20', '21', '22', '23']",A1 & A2 -  geschreddert,4.820799148174721,-4.523504036977709,5.537816967287176,0.5,3.189820135859713,0.6114158978248762,3.9399928416660064,0.375,2.820754957094522,0.8093635059249196,3.5900931060544643,0.25
26,"['20', '21', '22', '23']",A2 & A3 -  geschreddert,3.3261203235446595,-3.0349947205857197,4.335202642902096,0.875,3.9394002671894137,0.5830676961267235,4.617029090483159,0.5,3.670522522514731,0.3454441370226519,4.199396848046852,0.5
27,"['10', '11', '12', '13', '14', '15', '16']",A2 & A3 -  geschreddert,18.952126231824533,16.757933345471994,24.559958206317457,0.2857142857142857,8.687431063238858,3.29293951097645,10.402755821981296,0.2857142857142857,7.802053710853232,3.98384600583233,9.728800553952212,0.2857142857142857
28,"['10', '11', '12', '13', '14', '15', '16']",A1 & A2 -  geschreddert,14.860161061713095,14.860161061713095,17.49812952651372,0.625,7.9487759272535845,7.577500471435317,9.561795711843248,0.5,6.63321208956641,5.589246136243803,8.098547007457617,0.625
29,"['10', '11', '12', '13', '14', '15', '16']",A2 -  geschreddert,13.514192588714893,12.619943799152813,16.463496353164444,0.5714285714285714,9.269576044455011,3.1855911330132094,11.015863416817094,0.42857142857142855,7.478318663015802,2.6914404944328867,8.170302679199064,0.5714285714285714
30,"['29', '30', '31', '38', '39']",A2 & A3 -  geschreddert,6.926010981851603,3.6213822766628017,9.244537541294127,0.25,6.138981221615492,3.6945945823675532,7.106418509558178,0.5,5.712871553008833,2.7159484099500184,7.080098434657185,0.375
31,"['29', '30', '31', '38', '39']",A1 & A2 -  geschreddert,5.640870705598986,4.945951841588767,7.6739841672220095,0.625,6.259953964690876,2.3598579390008756,9.062107997088939,0.25,5.760826018763188,2.153224901009881,8.173635588803792,0.25
32,"['29', '30', '31', '38', '39']",A2 -  geschreddert,9.370488250522165,7.281132942654431,10.924095841016566,0.5,5.638317481650684,3.139931711439697,6.337992762266045,0.5,5.436768048942956,3.4707308142229008,6.535910923377417,0.25
