,Cluster,Category,RandomForest_static_mae,RandomForest_static_me,RandomForest_static_rmse,RandomForest_static_direction_accuracy,RandomForest_rolling_mae,RandomForest_rolling_me,RandomForest_rolling_rmse,RandomForest_rolling_direction_accuracy,RandomForest_wf_mae,RandomForest_wf_me,RandomForest_wf_rmse,RandomForest_wf_direction_accuracy
20,"['48', '49']",A3 -  ungeschreddert,2.5172293194573103,-1.773878749849916,3.137573110458193,0.14285714285714285,2.1660859309380323,-1.0194323172817414,2.5584770129257035,0.2857142857142857,1.9885021638198297,-0.7219063843395084,2.4142623446989937,0.14285714285714285
21,"['48', '49']",A2 & A3 -  geschreddert,6.6471390054286115,3.4492787405958536,7.858682081244209,0.75,8.271945778849405,0.0799757733950691,9.706503408324737,0.25,7.4617578727080245,-0.21729882382020685,9.157816312232113,0.375
22,"['48', '49']",A1 & A2 -  geschreddert,5.36060416692525,1.0333310296083662,6.274182932042352,0.5,5.147207444091943,0.4667622730705654,6.4678557631040885,0.3333333333333333,5.290149569257167,0.600516033475521,6.6539657040283995,0.3333333333333333
23,"['48', '49']",A3 -  geschreddert,9.466711911102882,-5.878230834175503,11.880733103648584,0.375,9.938534011162012,-0.9473623062490272,11.698341247786708,0.25,9.895549225462064,-0.3185932376513924,10.932525309395928,0.25
24,"['20', '21', '22', '23']",A2 -  geschreddert,2.668251446974492,-1.566012224365102,3.2426542371288845,0.375,3.2345532049273706,1.1548805444149939,3.8247784420629474,0.25,3.0461885123489747,0.7744111326002346,3.546253244402328,0.25
25,"['20', '21', '22', '23']",A1 & A2 -  geschreddert,3.689715286521181,-3.226636811502169,4.211590979908055,0.625,2.162665445799783,0.11938351353519346,2.710295126479203,0.5,2.1755275117793382,0.2226758417591594,2.9480773313670894,0.5
26,"['20', '21', '22', '23']",A2 & A3 -  geschreddert,3.2331435273331794,-2.829331060536132,3.9693826498664193,0.625,4.042653319826648,1.1151349171744895,4.724835256234911,0.25,3.3979927736955573,0.531820887817433,3.966798528962455,0.25
27,"['10', '11', '12', '13', '14', '15', '16']",A2 & A3 -  geschreddert,12.726714999096437,10.758084340538916,15.154124301418364,0.7142857142857143,9.141719033178562,5.666566300567384,11.683160194100438,0.5714285714285714,8.693998334891166,5.762042334147104,10.869221721616007,0.42857142857142855
28,"['10', '11', '12', '13', '14', '15', '16']",A1 & A2 -  geschreddert,12.313360008697822,12.313360008697822,15.006827361993539,0.625,6.813190292477807,6.1560997828063,8.23844339107661,0.75,5.768826106639187,5.288963073634907,7.0219351651247175,0.75
29,"['10', '11', '12', '13', '14', '15', '16']",A2 -  geschreddert,10.20058837982014,8.040979503087588,12.322634654201247,0.5714285714285714,7.809111407571327,2.872421415909246,9.29466381144583,0.42857142857142855,6.551050656669278,2.988056745268636,7.476544453038163,0.5714285714285714
30,"['29', '30', '31', '38', '39']",A2 & A3 -  geschreddert,8.806833872705344,7.615931656009282,9.91197357281066,0.375,5.206016200266169,3.3633816554861125,5.81070986961757,0.5,5.508939105428399,2.8729107931696802,6.030349671901636,0.375
31,"['29', '30', '31', '38', '39']",A1 & A2 -  geschreddert,5.8711735570101276,4.669230302269069,7.476044321715784,0.5,5.513010531559028,2.789253924950561,7.583046015637439,0.25,5.566834649281725,2.6628888334440166,7.893171815841068,0.25
32,"['29', '30', '31', '38', '39']",A2 -  geschreddert,8.255605870738256,7.7291160979806754,9.570671656475287,0.625,4.477305051581435,2.8113531251944246,5.26759321372497,0.5,4.74461119520767,2.4380310892663855,5.637421170180633,0.375
